Store,Weekly_Sales
14,317569.9494755081
10,302262.06250448094
20,275900.56274241407
4,266201.4422969778
13,265506.99577556964
23,249788.03806798684
27,239930.1356881839
2,237683.69468179933
39,217466.4548330348
6,212525.85586197738
35,211243.45779146877
19,191722.63873007408
41,187907.1627656376
28,181758.967538573
18,176641.51083924595
24,167745.67756711715
11,165833.88786308072
22,161251.3506309915
1,155980.76776119994
12,139166.87188038277
32,138017.25208740897
45,130168.5266351173
21,128752.81285322401
31,125855.94293256958
15,120538.65204319068
40,119002.11285761207
25,112976.7886004604
7,112585.46921978745
17,112162.93608702623
26,110431.28814099332
8,106280.82988091325
34,104630.16467575564
29,99120.13659614499
16,85769.68013311694
9,69028.66658471408
36,60725.173578889786
42,50262.92552974954
3,46319.6315569098
38,42768.16944995045
43,40598.41326025312
5,37737.9657447451
44,24762.83201523451
33,24132.9273222455
30,22809.665590198485
37,21837.46119004889
