Store,Weekly_Sales
20,301397792.46
4,299543953.38
14,288999911.34
13,286517703.8
2,275382440.98
10,271617713.89
27,253855916.88
6,223756130.64
1,222402808.85
39,207445542.47
19,206634862.1
31,199613905.5
23,198750617.85
24,194016021.28
11,193962786.8
28,189263680.58
41,181341934.89000002
32,166819246.16
18,155114734.21
22,147075648.57
12,144287230.15
26,143416393.79
34,138249763.0
40,137870309.79
35,131520672.08
8,129951181.13
17,127782138.83
45,112395341.42
21,108117878.92
25,101061179.17
43,90565435.41
15,89133683.92
7,81598275.14
42,79565752.42999999
9,77789218.99
29,77141554.31
16,74252425.4
37,74202740.32
30,62716885.12
3,57586735.07
38,55159626.42
36,53412214.97
5,45475688.9
44,43293087.84
33,37160221.96
